league,season,phase,home,away,hg,ag,corrected,ksi_id
besta,2019,main,FH,Grindavík,3,0,0,625562
besta,2019,main,Breiðablik,KR,1,2,0,632467
besta,2019,main,Stjarnan,ÍBV,3,2,0,740868
besta,2019,main,ÍA,Víkingur R.,1,5,0,744260
besta,2019,main,Valur,HK,2,0,0,753779
besta,2019,main,KA,Fylkir,4,2,0,756814
besta,2019,main,KR,FH,3,2,0,757437
besta,2019,main,Fylkir,Stjarnan,1,4,0,754233
besta,2019,main,Grindavík,Valur,2,2,0,756588
besta,2019,main,HK,ÍA,1,1,0,727825
besta,2019,main,Víkingur R.,KA,2,3,0,686316
besta,2019,main,ÍBV,Breiðablik,1,1,0,692231
besta,2019,main,Fylkir,Víkingur R.,3,1,0,754298
besta,2019,main,FH,ÍBV,6,4,0,625418
besta,2019,main,Breiðablik,Stjarnan,1,1,0,632211
besta,2019,main,Valur,KR,0,1,0,753665
besta,2019,main,ÍA,Grindavík,1,1,0,744367
besta,2019,main,KA,HK,1,1,0,756661
besta,2019,main,Breiðablik,Fylkir,4,3,0,632213
besta,2019,main,KR,ÍA,2,0,0,757441
besta,2019,main,ÍBV,Valur,2,1,0,692287
besta,2019,main,HK,Víkingur R.,1,3,0,729133
besta,2019,main,Stjarnan,FH,1,3,0,739574
besta,2019,main,Grindavík,KA,0,2,0,756594
besta,2019,main,Fylkir,HK,3,2,0,754180
besta,2019,main,Valur,Stjarnan,2,2,0,753639
besta,2019,main,FH,Breiðablik,2,4,0,625360
besta,2019,main,Víkingur R.,Grindavík,1,0,0,683773
besta,2019,main,KA,KR,0,0,0,757230
besta,2019,main,ÍA,ÍBV,2,1,0,744182
besta,2019,main,Breiðablik,Valur,3,3,0,632224
besta,2019,main,KR,Víkingur R.,1,0,0,757429
besta,2019,main,Stjarnan,ÍA,3,1,0,741393
besta,2019,main,FH,Fylkir,2,1,0,625357
besta,2019,main,Grindavík,HK,1,1,0,756592
besta,2019,main,ÍBV,KA,1,1,0,692303
besta,2019,main,Fylkir,Grindavík,2,1,0,754347
besta,2019,main,Valur,FH,2,3,0,753672
besta,2019,main,ÍA,Breiðablik,1,2,0,744382
besta,2019,main,KA,Stjarnan,4,2,0,757229
besta,2019,main,Víkingur R.,ÍBV,3,1,0,683076
besta,2019,main,HK,KR,4,1,0,726734
besta,2019,main,Stjarnan,Víkingur R.,2,1,0,739040
besta,2019,main,Valur,Fylkir,1,0,0,753615
besta,2019,main,Breiðablik,KA,4,0,0,632231
besta,2019,main,FH,ÍA,1,0,0,625355
besta,2019,main,KR,Grindavík,5,2,0,757501
besta,2019,main,ÍBV,HK,0,1,0,692305
besta,2019,main,Víkingur R.,Breiðablik,3,2,0,682342
besta,2019,main,HK,Stjarnan,1,1,0,729210
besta,2019,main,ÍA,Valur,1,2,0,744048
besta,2019,main,Fylkir,KR,1,4,0,754171
besta,2019,main,KA,FH,1,0,0,757228
besta,2019,main,Grindavík,ÍBV,2,1,0,756602
besta,2019,main,HK,FH,2,0,0,729150
besta,2019,main,Breiðablik,Grindavík,0,0,0,632260
besta,2019,main,Víkingur R.,Valur,2,2,0,686364
besta,2019,main,KR,Stjarnan,2,2,0,757525
besta,2019,main,KA,ÍA,1,1,0,757227
besta,2019,main,Fylkir,ÍBV,3,0,0,754255
besta,2019,main,Grindavík,ÍA,1,1,0,756600
besta,2019,main,Víkingur R.,Fylkir,1,1,0,685528
besta,2019,main,HK,KA,2,1,0,728485
besta,2019,main,ÍBV,FH,1,2,0,692481
besta,2019,main,FH,Víkingur R.,1,0,0,625347
besta,2019,main,Breiðablik,HK,1,2,0,632422
besta,2019,main,ÍBV,KR,1,2,0,692334
besta,2019,main,ÍA,Fylkir,2,0,0,744222
besta,2019,main,Stjarnan,Grindavík,0,0,0,740198
besta,2019,main,Valur,KA,3,1,0,753771
besta,2019,main,Grindavík,FH,0,0,0,756604
besta,2019,main,KR,Breiðablik,2,0,0,757493
besta,2019,main,Víkingur R.,ÍA,0,0,0,686221
besta,2019,main,HK,Valur,1,2,0,728922
besta,2019,main,Fylkir,KA,3,2,0,754365
besta,2019,main,ÍBV,Stjarnan,0,2,0,692337
besta,2019,main,FH,KR,1,2,0,625317
besta,2019,main,KA,Víkingur R.,3,4,0,757226
besta,2019,main,Valur,Grindavík,1,0,0,753698
besta,2019,main,Stjarnan,Fylkir,5,1,0,740558
besta,2019,main,ÍA,HK,0,2,0,744174
besta,2019,main,Breiðablik,ÍBV,3,1,0,632499
besta,2019,main,KR,Valur,3,2,0,757458
besta,2019,main,Stjarnan,Breiðablik,1,3,0,741329
besta,2019,main,KA,Grindavík,2,1,0,757225
besta,2019,main,Valur,ÍBV,5,0,0,753628
besta,2019,main,ÍA,KR,1,3,0,744162
besta,2019,main,Víkingur R.,HK,2,1,0,685136
besta,2019,main,FH,Stjarnan,2,2,0,625310
besta,2019,main,Fylkir,Breiðablik,4,3,0,754266
besta,2019,main,HK,Fylkir,1,2,0,728008
besta,2019,main,Stjarnan,Valur,2,1,0,738929
besta,2019,main,Breiðablik,FH,4,1,0,631164
besta,2019,main,ÍBV,ÍA,3,2,0,691749
