season,pos,team,p,w,d,l,gf,ga,pts
1912,1,Fram,2,1,1,0,4,1,4
1912,2,KR,2,1,1,0,4,1,4
1912,3,ÍBV,2,0,0,2,0,6,0
1915,1,Fram,2,2,0,0,7,4,6
1915,2,KR,2,1,0,1,9,6,3
1915,3,Valur,2,0,0,2,1,7,0
1916,1,Fram,2,1,1,0,4,3,4
1916,2,KR,2,0,2,0,5,5,2
1916,3,Valur,2,0,1,1,4,5,1
1917,1,Fram,2,2,0,0,7,5,6
1917,2,KR,2,1,0,1,5,5,3
1917,3,Valur,2,0,0,2,3,5,0
1918,1,Fram,3,3,0,0,14,5,9
1918,2,Víkingur R.,3,2,0,1,11,8,6
1918,3,Valur,3,1,0,2,4,8,3
1918,4,KR,3,0,0,3,4,12,0
1919,1,KR,3,2,1,0,6,2,7
1919,2,Fram,3,2,0,1,13,4,6
1919,3,Víkingur R.,3,1,1,1,4,2,4
1919,4,Valur,3,0,0,3,0,15,0
1920,1,Víkingur R.,2,2,0,0,9,5,6
1920,2,KR,2,1,0,1,5,5,3
1920,3,Fram,2,0,0,2,3,7,0
1921,1,Fram,2,2,0,0,10,1,6
1921,2,Víkingur R.,2,1,0,1,3,6,3
1921,3,KR,2,0,0,2,3,9,0
1922,1,Fram,2,2,0,0,10,0,6
1922,2,Víkingur R.,2,0,1,1,1,4,1
1922,3,KR,2,0,1,1,1,8,1
1924,1,Víkingur R.,3,3,0,0,8,4,9
1924,2,Fram,3,2,0,1,12,5,6
1924,3,KR,3,0,1,2,2,4,1
1924,4,Valur,3,0,1,2,2,11,1
1925,1,Fram,3,2,1,0,5,1,7
1925,2,Víkingur R.,3,1,2,0,5,4,5
1925,3,KR,3,1,1,1,6,3,4
1925,4,Valur,3,0,0,3,3,11,0
1926,1,KR,4,3,1,0,17,6,10
1926,2,Fram,4,3,1,0,7,4,10
1926,3,Víkingur R.,4,2,0,2,9,6,6
1926,4,ÍBV,4,0,1,3,9,17,1
1926,5,Valur,4,0,1,3,8,17,1
1927,1,KR,3,3,0,0,12,2,9
1927,2,Valur,3,2,0,1,5,3,6
1927,3,Víkingur R.,3,1,0,2,4,6,3
1927,4,Fram,3,0,0,3,0,10,0
1928,1,KR,2,2,0,0,6,2,6
1928,2,Valur,2,1,0,1,4,4,3
1928,3,Víkingur R.,2,0,0,2,5,9,0
1929,1,KR,4,4,0,0,20,5,12
1929,2,Valur,3,2,0,1,9,3,6
1929,3,ÍBV,4,2,0,2,7,9,6
1929,4,Víkingur R.,3,1,0,2,6,11,3
1929,5,KA,2,0,0,2,0,7,0
1930,1,Valur,4,4,0,0,18,2,12
1930,2,KR,4,3,0,1,14,4,9
1930,3,ÍBV,4,2,0,2,11,10,6
1930,4,Víkingur R.,4,0,1,3,3,13,1
1930,5,Fram,4,0,1,3,2,19,1
1931,1,KR,3,3,0,0,13,1,9
1931,2,Valur,3,2,0,1,6,3,6
1931,3,Víkingur R.,3,1,0,2,4,11,3
1931,4,Fram,3,0,0,3,3,11,0
1932,1,KR,4,3,1,0,15,5,10
1932,2,Valur,4,2,1,1,5,3,7
1932,3,KA,4,2,0,2,6,5,6
1932,4,Fram,4,2,0,2,3,5,6
1932,5,Víkingur R.,4,0,0,4,1,12,0
1933,1,Valur,3,3,0,0,17,3,9
1933,2,KR,3,2,0,1,11,7,6
1933,3,Fram,3,1,0,2,6,8,3
1933,4,Víkingur R.,3,0,0,3,0,16,0
1934,1,KR,4,3,1,0,12,5,10
1934,2,Valur,4,3,0,1,23,5,9
1934,3,Fram,4,2,1,1,11,5,7
1934,4,ÍBV,4,1,0,3,5,15,3
1934,5,Víkingur R.,4,0,0,4,4,25,0
1935,1,Valur,3,2,1,0,6,2,7
1935,2,KR,3,2,0,1,10,2,6
1935,3,Fram,3,1,1,1,6,3,4
1935,4,Víkingur R.,3,0,0,3,2,17,0
1936,1,Valur,3,2,1,0,10,5,7
1936,2,KR,3,1,2,0,7,4,5
1936,3,Fram,3,1,1,1,8,3,4
1936,4,Víkingur R.,3,0,0,3,1,14,0
1937,1,Valur,2,2,0,0,8,3,6
1937,2,KR,2,1,0,1,3,4,3
1937,3,Fram,2,0,0,2,3,7,0
1938,1,Valur,3,2,1,0,11,9,7
1938,2,Víkingur R.,3,1,1,1,6,6,4
1938,3,Fram,3,0,2,1,7,8,2
1938,4,KR,3,0,2,1,5,6,2
1939,1,Fram,3,2,0,1,5,6,6
1939,2,KR,3,1,1,1,7,5,4
1939,3,Víkingur R.,3,1,1,1,3,3,4
1939,4,Valur,3,0,2,1,3,4,2
1940,1,Valur,3,2,1,0,6,4,7
1940,2,Víkingur R.,3,1,2,0,7,4,5
1940,3,KR,3,1,0,2,6,6,3
1940,4,Fram,3,0,1,2,4,9,1
1941,1,KR,4,3,1,0,11,5,10
1941,2,Valur,4,2,2,0,14,3,8
1941,3,Víkingur R.,4,1,1,2,5,5,4
1941,4,Fram,4,1,1,2,6,12,4
1941,5,KA,4,0,1,3,6,17,1
1942,1,Valur,4,3,0,1,12,5,9
1942,2,Fram,4,3,0,1,7,7,9
1942,3,KR,4,2,0,2,7,6,6
1942,4,Víkingur R.,4,1,0,3,3,6,3
1942,5,ÍBV,4,1,0,3,4,9,3
1943,1,Valur,4,4,0,0,12,4,12
1943,2,KR,4,2,0,2,11,9,6
1943,3,Fram,4,2,0,2,10,8,6
1943,4,ÍBA Fullorðnir Karlar,4,1,1,2,8,9,4
1943,5,ÍBV,4,0,1,3,4,15,1
1944,1,Valur,3,2,1,0,6,3,7
1944,2,KR,3,2,0,1,3,2,6
1944,3,ÍR,1,1,0,0,8,0,3
1944,4,Víkingur R.,3,0,2,1,4,6,2
1944,5,Fram,4,0,1,3,3,13,1
1945,1,Valur,3,3,0,0,15,0,9
1945,2,KR,3,2,0,1,10,1,6
1945,3,Fram,3,0,1,2,1,12,1
1945,4,Víkingur R.,3,0,1,2,1,14,1
1946,1,Fram,5,4,1,0,17,10,13
1946,2,KR,5,3,1,1,16,9,10
1946,3,Valur,5,3,1,1,11,7,10
1946,4,Víkingur R.,5,0,3,2,11,15,3
1946,5,ÍA,5,0,2,3,6,13,2
1946,6,ÍBA Fullorðnir Karlar,5,0,2,3,6,13,2
1947,1,Fram,4,3,1,0,7,4,10
1947,2,Valur,4,3,0,1,8,2,9
1947,3,KR,4,2,1,1,8,6,7
1947,4,Víkingur R.,4,0,1,3,4,7,1
1947,5,ÍA,4,0,1,3,3,11,1
1948,1,KR,3,2,1,0,7,1,7
1948,2,Valur,4,2,0,2,8,9,6
1948,3,Víkingur R.,3,1,2,0,5,4,5
1948,4,Fram,4,1,1,2,6,7,4
1948,5,ÍA,2,0,0,2,1,6,0
1950,1,KR,4,2,2,0,7,3,8
1950,2,Fram,4,2,1,1,8,4,7
1950,3,Víkingur R.,4,1,1,2,8,11,4
1950,4,Valur,4,1,1,2,5,9,4
1950,5,ÍA,4,0,3,1,6,7,3
1951,1,ÍA,4,2,2,0,12,8,8
1951,2,Valur,4,2,0,2,9,6,6
1951,3,KR,4,2,0,2,8,8,6
1951,4,Víkingur R.,4,1,1,2,7,6,4
1951,5,Fram,4,1,1,2,5,13,4
1952,1,KR,4,3,1,0,7,3,10
1952,2,ÍA,4,3,0,1,12,6,9
1952,3,Fram,4,2,0,2,8,9,6
