sæti;nafn;staða;lið;lið ársins;Íslandsmeistari
1;Tryggvi Guðmundsson;Kantmaður;ÍBV, KR, FH, Fylkir;6;1997, 2005, 2006, 2008, 2009
2;Atli Guðnason;Kantmaður;FH;4;2006, 2008, 2009, 2012, 2015, 2016
3;Óskar Örn Hauksson;Kantmaður;Grindavík, KR, Stjarnan, Víkingur;3;2011, 2013, 2019
4;Sigursteinn Gíslason;Bakvörður/miðjumaður;ÍA, KR;2;1992, 1993, 1994, 1995, 1996, 1999, 2000, 2002, 2003
5;Guðmundur Benediktsson;Framherji;Þór, KR, Valur;2;1999, 2000, 2002, 2007
6;Arnar Gunnlaugsson;Framherji;ÍA, KR, FH, Valur, Haukar, Fram;2;1992, 1995, 2003, 2008
7;Patrick Pedersen;Framherji;Valur;3;2017, 2018, 2020
8;Atli Viðar Björnsson;Framherji;FH;4;2004, 2005, 2006, 2008, 2009, 2012, 2015, 2016
9;Davíð Þór Viðarsson;Miðjumaður;FH;4;2004, 2005, 2006, 2008, 2009, 2015, 2016
10;Ólafur Þórðarson;Miðjumaður/kantmaður;ÍA;3;1993, 1994, 1995, 1996, 2001
11;Haraldur Ingólfsson;Vinstri kantmaður;ÍA;3;1992, 1993, 1994, 1995, 1996
12;Bjarni Guðjónsson;Miðjumaður/framherji;ÍA, KR;4;1996, 2011, 2013
13;Sigurður Jónsson;Miðjumaður;ÍA;3;1992, 1993, 1994, 1995
14;Steven Lennon;Framherji;Fram, FH;3;2015, 2016
15;Pablo Punyed;Miðjumaður;Fylkir, Stjarnan, ÍBV, KR, Víkingur;2;2014, 2019, 2021, 2023
16;Tommy Nielsen;Miðvörður;FH;4;2004, 2005, 2006, 2008, 2009
17;Allan Borgvardt;Framherji;FH;2;2004, 2005
18;Hannes Þór Halldórsson;Markvörður;Fram, KR, Valur;4;2011, 2013, 2020
19;Heimir Guðjónsson;Miðjumaður;KR, ÍA, FH;5;2004, 2005
20;Bjarki Gunnlaugsson;Miðjumaður/framherji;ÍA, KR, FH, Valur;2;1992, 1995, 1999, 2003, 2012
21;Guðmundur Steinarsson;Framherji;Keflavík, Fram;1;
22;Alfreð Finnbogason;Framherji;Breiðablik;2;2010
23;Höskuldur Gunnlaugsson;Hægri bakvörður/miðjumaður/kantmaður;Breiðablik;4;2022, 2024
24;Kristján Finnbogason;Markvörður;ÍA, KR, Fylkir;2;1992, 1993, 1999, 2000, 2002, 2003
25;Zoran Miljkovic;Miðvörður;ÍA, ÍBV;0;1994, 1995, 1996, 1997, 1998
26;Veigar Páll Gunnarsson;Framherji;Stjarnan, KR, Víkingur, FH;3;2002, 2003, 2014
27;Baldur Sigurðsson;Miðjumaður;Keflavík, KR, Stjarnan, FH;3;2011, 2013
28;Hlynur Stefánsson;Miðvörður;ÍBV;5;1997, 1998
29;Þormóður Egilsson;Miðvörður;KR;2;1999, 2000, 2002
30;Ingvar Jónsson;Markvörður;Stjarnan, Víkingur;1;2014, 2021, 2023
31;Kristinn Jónsson;Vinstri bakvörður;Breiðablik, KR;6;2010, 2019, 2024
32;Helgi Sigurðsson;Framherji;Víkingur, Fram, Valur;2;2007
33;Gunnlaugur Jónsson;Miðvörður;ÍA, KR;4;1995, 1996, 2001
34;Mihajlo Bibercic;Framherji;ÍA, KR, Stjarnan;1;1993, 1994, 1996
35;Einar Þór Daníelsson;Vinstri kantmaður;KR, ÍBV;2;1999, 2000, 2002, 2003
36;Matthías Vilhjálmsson;Miðjumaður/framherji;FH, Víkingur;2;2006, 2008, 2009, 2023
