Ár;Leikmaður;Lið;Sofascore-einkunn;Mörk;Stoðsendingar;Mörk + stoðsendingar;Mörk úr vítum;Mínútur á mark;Skot í leik;Skot á mark í leik;Heppnaðar sendingar í leik;Lykilsendingar í leik;Heppnaðar langsendingar í leik;Heppnuð knattrök í leik;Hreinsanir í leik;Gul spjöld;Rauð spjöld;Varin skot í leik;Fengin mörk í leik (flest);Fengin mörk í leik (fæst);Hrein lök;Víti tekin;Heppnaðar sendingar (%);Heppnuð knattrök (%);Sofascore ID;Leikmannssíða
2023;Adam Pálsson;Valur Reykjavík;7.62;9;4;13;;205;2;0.7;;1.4;;2.1;;;;;;;;;;58;1028880;https://www.sofascore.com/football/player/adam-palsson/1028880
2023;Adam Örn Arnarson;Fram Reykjavík;;;;;;;;;;;2.2;;1.9;5;;;;;;;;;187009;https://www.sofascore.com/football/player/adam-orn-arnarson/187009
2023;Adolf Daði Birgisson;Stjarnan Garðabær;;;4;;;;;;;0.8;;1.6;;6;;;;;;;;59;1067823;https://www.sofascore.com/football/player/adolf-dadi-birgisson/1067823
2023;Ahmad Faqa;HK Kópavogur;;;;;;;;;39.8;;;;3.3;6;;;;;;;90;;1150159;https://www.sofascore.com/football/player/ahmad-faqa/1150159
2023;Alex Freyr Hilmarsson;ÍBV Vestmannaeyjar;;4;;;;;;0.5;;;;;;;;;;;;;;;839975;https://www.sofascore.com/football/player/alex-freyr-hilmarsson/839975
2023;Andri Adolphsson;Stjarnan Garðabær;;;;;;;;;;;;1.6;;;;;;;;;;85;803019;https://www.sofascore.com/football/player/andri-adolphsson/803019
2023;Andri Rúnar Bjarnason;Valur Reykjavík;;;;;1;213;;0.6;;;;;;;;;;;;2;;;795831;https://www.sofascore.com/football/player/andri-runar-bjarnason/795831
2023;Anton Ari Einarsson;Breidablik Kópavogur;;;;;;;;;;;;;;;;2.7;1.7;1.7;7;;;;797032;https://www.sofascore.com/football/player/anton-ari-einarsson/797032
2023;Anton Logi Lúðvíksson;Breidablik Kópavogur;;;3;;;;;;46.2;0.8;;2;;;;;;;;;92;78;1035622;https://www.sofascore.com/football/player/anton-logi-ludviksson/1035622
2023;Arnar Breki Gunnarsson;ÍBV Vestmannaeyjar;;;3;;;;;;;;;1.7;;;;;;;;;;45;1104794;https://www.sofascore.com/football/player/arnar-breki-gunnarsson/1104794
2023;Arnar Freyr Ólafsson;HK Kópavogur;7.35;;;;;;;;;;;;;;;4.1;2;2;4;;;;796717;https://www.sofascore.com/football/player/arnar-freyr-olafsson/796717
2023;Arnor Asthorsson;Fylkir Reykjavík;;;5;;;;;;;1.5;;;2.6;6;;;;;;;;;1640256;https://www.sofascore.com/football/player/arnor-asthorsson/1640256
2023;Arnor Gudjohnsen;FH Hafnarfjörður;;;;;;;;;;;;1.5;;;;;;;;;;51;1010019;https://www.sofascore.com/football/player/arnor-gudjohnsen/1010019
2023;Arnór Gauti Jónsson;Fylkir Reykjavík;;;;;;;;;36.1;;2.8;;;8;;;;;;;89;;1029004;https://www.sofascore.com/football/player/arnor-gauti-jonsson/1029004
2023;Arnór Sveinn Aðalsteinsson;Breidablik Kópavogur;;;;;;;;;32.9;;;;;;;;;;;;86;;879492;https://www.sofascore.com/football/player/arnor-sveinn-adalsteinsson/879492
2023;Arnþór Ari Atlason;HK Kópavogur;;6;;7;;;1.2;0.6;33.2;;;;;;;;;;;;85;;153703;https://www.sofascore.com/football/player/arnthor-ari-atlason/153703
2023;Aron Elís Þrándarson;Víkingur Reykjavík;;7;;7;;;;;;;;;;;;;;;;;;;135629;https://www.sofascore.com/football/player/aron-elis-randarson/135629
2023;Aron Johannsson;Fram Reykjavík;;6;;8;;360;1.7;0.6;;;;;;;;;;;;;;;862547;https://www.sofascore.com/football/player/aron-johannsson/862547
2023;Aron Jóhansson;Valur Reykjavík;7.55;9;9;18;;213;1.6;0.6;31.8;1;3;;;7;;;;;;;80;;64385;https://www.sofascore.com/football/player/aron-johansson/64385
2023;Aron Snær Friðriksson;KR Reykjavík;;;;;;;;;;;;;;;1;;;;3;;;;803817;https://www.sofascore.com/football/player/aron-snaer-fridriksson/803817
